seed,generator,n_generated,quality,utility,indistinguishability,similarity,baseline_accuracy,generated_only_accuracy,real_augmented_accuracy,generated_augmented_accuracy,real_augmentation_gain,generated_augmentation_gain,fid_to_oracle,precision,recall,distinguishability_accuracy
7,SMOTE interpolation,2000,1.0,0.3300000000000011,0.22750000000000004,0.19226812464712542,0.91075,0.9265,0.96075,0.92725,0.050000000000000044,0.01650000000000007,0.0002790634518997433,0.9775,0.253,0.88625
7,Transferred local differences,2000,1.0,0.9271844660194171,0.5800000000000001,0.2591534913794328,0.91075,0.958,0.96225,0.9585,0.0515000000000001,0.04775000000000007,0.00018560280436244185,0.967,0.844,0.71
8,SMOTE interpolation,2000,1.0,0.26865671641790845,0.21700000000000008,0.15492717263520933,0.94725,0.9525,0.964,0.95175,0.01674999999999993,0.0044999999999999485,0.00072240844478611,0.991,0.2385,0.8915
8,Transferred local differences,2000,1.0,0.805970149253732,0.554,0.2480702173516838,0.94725,0.9595,0.964,0.96075,0.01674999999999993,0.013499999999999956,0.0005981186499756461,0.9885,0.7761666666666667,0.723
9,SMOTE interpolation,2000,1.0,0.8264462809917363,0.24249999999999994,0.19009260769880176,0.93125,0.95625,0.9615,0.95625,0.03025,0.025000000000000022,0.000838098856712007,0.9905,0.20666666666666667,0.87875
9,Transferred local differences,2000,1.0,0.9152542372881373,0.5825,0.2420231765272326,0.93125,0.95675,0.96075,0.95825,0.02949999999999997,0.027000000000000024,0.0002755610849556538,0.984,0.8296666666666667,0.70875
10,SMOTE interpolation,2000,1.0,0.6836734693877546,0.21750000000000003,0.17792097547166216,0.93475,0.953,0.95925,0.9515,0.024500000000000077,0.016750000000000043,0.0011787334862277832,0.9925,0.22366666666666668,0.89125
10,Transferred local differences,2000,1.0,0.806451612903228,0.5740000000000001,0.2493295439086604,0.93475,0.953,0.958,0.9535,0.023249999999999993,0.018750000000000044,0.0007294972140358881,0.976,0.8275,0.713
11,SMOTE interpolation,2000,1.0,0.7014925373134323,0.21999999999999997,0.1683888874314461,0.926,0.949,0.9595,0.9495,0.033499999999999974,0.023499999999999965,0.0007914519629817141,0.9825,0.2185,0.89
11,Transferred local differences,2000,1.0,0.8225806451612915,0.5954999999999999,0.23862953912853996,0.926,0.95025,0.957,0.9515,0.030999999999999917,0.025499999999999967,0.0007221027867566712,0.987,0.8061666666666667,0.70225
