seed,generator,n_generated,quality,utility,indistinguishability,similarity,baseline_accuracy,generated_only_accuracy,real_augmented_accuracy,generated_augmented_accuracy,real_augmentation_gain,generated_augmentation_gain,fid_to_oracle,precision,recall,distinguishability_accuracy
7,SMOTE interpolation,1000,1.0,0.9910714285714296,0.3526666666666667,0.4979215409136602,0.8795,0.903,0.9075,0.90725,0.028000000000000025,0.027750000000000052,0.00021474934749293932,0.991,0.5975,0.8236666666666667
7,Transferred local differences,1000,1.0,0.4695652173913058,0.5093333333333334,0.5278291295352405,0.8795,0.88075,0.90825,0.893,0.028750000000000053,0.013500000000000068,0.00016692403437893808,0.985,0.843,0.7453333333333333
8,SMOTE interpolation,1000,1.0,0.8558139534883734,0.3853333333333333,0.5254105441026334,0.85775,0.895,0.9115,0.90375,0.053749999999999964,0.04600000000000004,0.00046125825521861803,0.997,0.6161666666666666,0.8073333333333333
8,Transferred local differences,1000,1.0,0.6188118811881189,0.5073333333333334,0.5475013339002951,0.85775,0.881,0.90825,0.889,0.05049999999999999,0.03125,0.0013866166848083982,0.973,0.9035,0.7463333333333333
9,SMOTE interpolation,1000,1.0,0.9072847682119218,0.3606666666666667,0.515611272627525,0.86875,0.90025,0.9065,0.903,0.03774999999999995,0.03425,0.00010941670059994827,0.994,0.6496666666666666,0.8196666666666667
9,Transferred local differences,1000,1.0,1.0,0.5133333333333334,0.5352021911025664,0.86875,0.89925,0.90025,0.90525,0.03149999999999997,0.03649999999999998,0.0004700797503429389,0.972,0.868,0.7433333333333333
10,SMOTE interpolation,1000,1.0,0.5952380952380953,0.3460000000000001,0.5142459750800664,0.84475,0.87875,0.89725,0.876,0.05249999999999999,0.03125,0.0015081421538931195,0.985,0.5511666666666667,0.827
10,Transferred local differences,1000,1.0,0.8421052631578951,0.518,0.5367190972384863,0.84475,0.886,0.897,0.88875,0.05225000000000002,0.04400000000000004,0.0010640944115779894,0.977,0.8403333333333334,0.741
11,SMOTE interpolation,1000,1.0,0.8120805369127515,0.3620000000000001,0.49729160899812985,0.8665,0.89425,0.90375,0.89675,0.037250000000000005,0.03025,0.0008664359590056193,0.988,0.6348333333333334,0.819
11,Transferred local differences,1000,1.0,1.0,0.5573333333333332,0.5328735530765416,0.8665,0.8995,0.902,0.90425,0.035499999999999976,0.03774999999999995,0.0016609011192485184,0.98,0.851,0.7213333333333334
